df,alpha,p_cum,tv_2t,tv_1t
14,0.2,0.8,1.345030374,0.868054782
15,0.0005,0.9995,4.41661283,4.072765196
15,0.001,0.999,4.072765196,3.732834425
15,0.005,0.995,3.286038571,2.946712883
15,0.01,0.99,2.946712883,2.602480295
15,0.025,0.975,2.489879703,2.131449546
15,0.05,0.95,2.131449546,1.753050356
15,0.1,0.9,1.753050356,1.340605608
15,0.15,0.85,1.517227969,1.073531396
15,0.2,0.8,1.340605608,0.866244973
16,0.0005,0.9995,4.346348584,4.014996327
16,0.001,0.999,4.014996327,3.686154793
16,0.005,0.995,3.251992874,2.920781622
16,0.01,0.99,2.920781622,2.583487185
16,0.025,0.975,2.472878322,2.119905299
16,0.05,0.95,2.119905299,1.745883676
16,0.1,0.9,1.745883676,1.336757167
16,0.15,0.85,1.51213017,1.071137163
16,0.2,0.8,1.336757167,0.864667002
17,0.0005,0.9995,4.28582834,3.965126272
17,0.001,0.999,3.965126272,3.64576738
17,0.005,0.995,3.222449911,2.89823052
17,0.01,0.99,2.89823052,2.566933984
17,0.025,0.975,2.45805072,2.109815578
17,0.05,0.95,2.109815578,1.739606726
17,0.1,0.9,1.739606726,1.33337939
17,0.15,0.85,1.507659754,1.069033111
17,0.2,0.8,1.33337939,0.863279017
18,0.0005,0.9995,4.2331673,3.921645825
18,0.001,0.999,3.921645825,3.610484885
18,0.005,0.995,3.196574222,2.878440473
18,0.01,0.99,2.878440473,2.55237963
18,0.025,0.975,2.445005617,2.10092204
18,0.05,0.95,2.10092204,1.734063607
18,0.1,0.9,1.734063607,1.330390944
18,0.15,0.85,1.503707672,1.067169516
18,0.2,0.8,1.330390944,0.862048668
19,0.0005,0.9995,4.186935259,3.883405853
19,0.001,0.999,3.883405853,3.579400149
19,0.005,0.995,3.173724531,2.860934606
19,0.01,0.99,2.860934606,2.539483191
19,0.025,0.975,2.433440211,2.093024054
19,0.05,0.95,2.093024054,1.729132812
19,0.1,0.9,1.729132812,1.327728209
19,0.15,0.85,1.500188756,1.065507399
19,0.2,0.8,1.327728209,0.86095055
20,0.0005,0.9995,4.146027822,3.849516275
20,0.001,0.999,3.849516275,3.551808343
20,0.005,0.995,3.153400533,2.84533971
20,0.01,0.99,2.84533971,2.527977003
20,0.025,0.975,2.42311654,2.085963447
20,0.05,0.95,2.085963447,1.724718243
20,0.1,0.9,1.724718243,1.325340707
20,0.15,0.85,1.497035518,1.064015771
20,0.2,0.8,1.325340707,0.85996444
21,0.0005,0.9995,4.109578931,3.819277164
21,0.001,0.999,3.819277164,3.527153669
21,0.005,0.995,3.135206245,2.831359558
21,0.01,0.99,2.831359558,2.517648016
21,0.025,0.975,2.413845017,2.079613845
21,0.05,0.95,2.079613845,1.720742903
21,0.1,0.9,1.720742903,1.323187874
21,0.15,0.85,1.494193795,1.062669688
21,0.2,0.8,1.323187874,0.859074035
22,0.0005,0.9995,4.076900059,3.792130672
22,0.001,0.999,3.792130672,3.504992031
22,0.005,0.995,3.118824207,2.818756061
22,0.01,0.99,2.818756061,2.508324553
22,0.025,0.975,2.405472746,2.073873068
22,0.05,0.95,2.073873068,1.717144374
22,0.1,0.9,1.717144374,1.321236742
22,0.15,0.85,1.491619612,1.061448843
22,0.2,0.8,1.321236742,0.858266052
23,0.0005,0.9995,4.047437064,3.767626804
23,0.001,0.999,3.767626804,3.484964375
23,0.005,0.995,3.103996963,2.807335684
23,0.01,0.99,2.807335684,2.499866739
23,0.025,0.975,2.397875065,2.06865761
23,0.05,0.95,2.06865761,1.713871528
23,0.1,0.9,1.713871528,1.31946024
23,0.15,0.85,1.489276897,1.06033654
23,0.2,0.8,1.31946024,0.857529554
24,0.0005,0.9995,4.020739019,3.745398619
24,0.001,0.999,3.745398619,3.466777298
24,0.005,0.995,3.090513549,2.796939505
24,0.01,0.99,2.796939505,2.492159473
24,0.025,0.975,2.390949315,2.063898562
24,0.05,0.95,2.063898562,1.71088208
24,0.1,0.9,1.71088208,1.317835934
24,0.15,0.85,1.487135783,1.059318921
24,0.2,0.8,1.317835934,0.856855458
25,0.0005,0.9995,3.996435308,3.72514395
