df,alpha,p_cum,tv_2t,tv_1t
70,0.01,0.99,2.647904624,2.380807482
70,0.025,0.975,2.290638629,1.994437112
70,0.05,0.95,1.994437112,1.666914479
70,0.1,0.9,1.666914479,1.293762898
70,0.15,0.85,1.455504241,1.044168536
70,0.2,0.8,1.293762898,0.846786285
71,0.0005,0.9995,3.648414813,3.43290101
71,0.001,0.999,3.43290101,3.20903228
71,0.005,0.995,2.897404141,2.646863444
71,0.01,0.99,2.646863444,2.380023686
71,0.025,0.975,2.289930854,1.993943368
71,0.05,0.95,1.993943368,1.666599658
71,0.1,0.9,1.666599658,1.293589269
71,0.15,0.85,1.455276784,1.04405879
71,0.2,0.8,1.293589269,0.846713118
72,0.0005,0.9995,3.901642678,3.645958635
72,0.001,0.999,3.645958635,3.385184867
72,0.005,0.995,3.029798224,2.749995654
72,0.01,0.99,2.749995654,2.457261542
72,0.025,0.975,2.359562459,2.042272456
72,0.05,0.95,2.042272456,1.697260887
72,0.1,0.9,1.697260887,1.310415025
72,0.15,0.85,1.477364662,1.054662347
72,0.2,0.8,1.310415025,0.853767261
73,0.0005,0.9995,3.901642678,3.645958635
73,0.001,0.999,3.645958635,3.385184867
73,0.005,0.995,3.029798224,2.749995654
73,0.01,0.99,2.749995654,2.457261542
73,0.025,0.975,2.359562459,2.042272456
73,0.05,0.95,2.042272456,1.697260887
73,0.1,0.9,1.697260887,1.310415025
73,0.15,0.85,1.477364662,1.054662347
73,0.2,0.8,1.310415025,0.853767261
74,0.0005,0.9995,3.901642678,3.645958635
74,0.001,0.999,3.645958635,3.385184867
74,0.005,0.995,3.029798224,2.749995654
74,0.01,0.99,2.749995654,2.457261542
74,0.025,0.975,2.359562459,2.042272456
74,0.05,0.95,2.042272456,1.697260887
74,0.1,0.9,1.697260887,1.310415025
74,0.15,0.85,1.477364662,1.054662347
74,0.2,0.8,1.310415025,0.853767261
75,0.0005,0.9995,3.901642678,3.645958635
75,0.001,0.999,3.645958635,3.385184867
75,0.005,0.995,3.029798224,2.749995654
75,0.01,0.99,2.749995654,2.457261542
75,0.025,0.975,2.359562459,2.042272456
75,0.05,0.95,2.042272456,1.697260887
75,0.1,0.9,1.697260887,1.310415025
75,0.15,0.85,1.477364662,1.054662347
75,0.2,0.8,1.310415025,0.853767261
76,0.0005,0.9995,3.901642678,3.645958635
76,0.001,0.999,3.645958635,3.385184867
76,0.005,0.995,3.029798224,2.749995654
76,0.01,0.99,2.749995654,2.457261542
76,0.025,0.975,2.359562459,2.042272456
76,0.05,0.95,2.042272456,1.697260887
76,0.1,0.9,1.697260887,1.310415025
76,0.15,0.85,1.477364662,1.054662347
76,0.2,0.8,1.310415025,0.853767261
77,0.0005,0.9995,3.901642678,3.645958635
77,0.001,0.999,3.645958635,3.385184867
77,0.005,0.995,3.029798224,2.749995654
77,0.01,0.99,2.749995654,2.457261542
77,0.025,0.975,2.359562459,2.042272456
77,0.05,0.95,2.042272456,1.697260887
77,0.1,0.9,1.697260887,1.310415025
77,0.15,0.85,1.477364662,1.054662347
77,0.2,0.8,1.310415025,0.853767261
78,0.0005,0.9995,3.901642678,3.645958635
78,0.001,0.999,3.645958635,3.385184867
78,0.005,0.995,3.029798224,2.749995654
78,0.01,0.99,2.749995654,2.457261542
78,0.025,0.975,2.359562459,2.042272456
78,0.05,0.95,2.042272456,1.697260887
78,0.1,0.9,1.697260887,1.310415025
78,0.15,0.85,1.477364662,1.054662347
78,0.2,0.8,1.310415025,0.853767261
79,0.0005,0.9995,3.901642678,3.645958635
79,0.001,0.999,3.645958635,3.385184867
79,0.005,0.995,3.029798224,2.749995654
79,0.01,0.99,2.749995654,2.457261542
79,0.025,0.975,2.359562459,2.042272456
79,0.05,0.95,2.042272456,1.697260887
79,0.1,0.9,1.697260887,1.310415025
79,0.15,0.85,1.477364662,1.054662347
79,0.2,0.8,1.310415025,0.853767261
80,0.0005,0.9995,3.901642678,3.645958635
80,0.001,0.999,3.645958635,3.385184867
80,0.005,0.995,3.029798224,2.749995654
80,0.01,0.99,2.749995654,2.457261542
80,0.025,0.975,2.359562459,2.042272456
80,0.05,0.95,2.042272456,1.697260887
80,0.1,0.9,1.697260887,1.310415025
80,0.15,0.85,1.477364662,1.054662347
80,0.2,0.8,1.310415025,0.853767261
81,0.0005,0.9995,3.901642678,3.645958635
81,0.001,0.999,3.645958635,3.385184867
81,0.005,0.995,3.029798224,2.749995654
81,0.01,0.99,2.749995654,2.457261542
81,0.025,0.975,2.359562459,2.042272456
81,0.05,0.95,2.042272456,1.697260887
81,0.1,0.9,1.697260887,1.310415025
81,0.15,0.85,1.477364662,1.054662347
81,0.2,0.8,1.310415025,0.853767261
82,0.0005,0.9995,3.901642678,3.645958635
82,0.001,0.999,3.645958635,3.385184867
82,0.005,0.995,3.029798224,2.749995654
82,0.01,0.99,2.749995654,2.457261542
82,0.025,0.975,2.359562459,2.042272456
82,0.05,0.95,2.042272456,1.697260887
82,0.1,0.9,1.697260887,1.310415025
82,0.15,0.85,1.477364662,1.054662347
82,0.2,0.8,1.310415025,0.853767261
83,0.0005,0.9995,3.901642678,3.645958635
83,0.001,0.999,3.645958635,3.385184867
83,0.005,0.995,3.029798224,2.749995654
83,0.01,0.99,2.749995654,2.457261542
83,0.025,0.975,2.359562459,2.042272456
83,0.05,0.95,2.042272456,1.697260887
83,0.1,0.9,1.697260887,1.310415025
83,0.15,0.85,1.477364662,1.054662347
83,0.2,0.8,1.310415025,0.853767261
84,0.0005,0.9995,3.901642678,3.645958635
84,0.001,0.999,3.645958635,3.385184867
84,0.005,0.995,3.029798224,2.749995654
84,0.01,0.99,2.749995654,2.457261542
84,0.025,0.975,2.359562459,2.042272456
84,0.05,0.95,2.042272456,1.697260887
84,0.1,0.9,1.697260887,1.310415025
84,0.15,0.85,1.477364662,1.054662347
84,0.2,0.8,1.310415025,0.853767261
85,0.0005,0.9995,3.901642678,3.645958635
85,0.001,0.999,3.645958635,3.385184867
85,0.005,0.995,3.029798224,2.749995654
85,0.01,0.99,2.749995654,2.457261542
85,0.025,0.975,2.359562459,2.042272456
85,0.05,0.95,2.042272456,1.697260887
85,0.1,0.9,1.697260887,1.310415025
85,0.15,0.85,1.477364662,1.054662347
85,0.2,0.8,1.310415025,0.853767261
86,0.0005,0.9995,3.901642678,3.645958635
86,0.001,0.999,3.645958635,3.385184867
86,0.005,0.995,3.029798224,2.749995654
86,0.01,0.99,2.749995654,2.457261542
86,0.025,0.975,2.359562459,2.042272456
86,0.05,0.95,2.042272456,1.697260887
86,0.1,0.9,1.697260887,1.310415025
86,0.15,0.85,1.477364662,1.054662347
86,0.2,0.8,1.310415025,0.853767261
87,0.0005,0.9995,3.901642678,3.645958635
87,0.001,0.999,3.645958635,3.385184867
87,0.005,0.995,3.029798224,2.749995654
87,0.01,0.99,2.749995654,2.457261542
87,0.025,0.975,2.359562459,2.042272456
87,0.05,0.95,2.042272456,1.697260887
87,0.1,0.9,1.697260887,1.310415025
87,0.15,0.85,1.477364662,1.054662347
87,0.2,0.8,1.310415025,0.853767261
88,0.0005,0.9995,3.901642678,3.645958635
88,0.001,0.999,3.645958635,3.385184867
88,0.005,0.995,3.029798224,2.749995654
88,0.01,0.99,2.749995654,2.457261542
88,0.025,0.975,2.359562459,2.042272456
88,0.05,0.95,2.042272456,1.697260887
88,0.1,0.9,1.697260887,1.310415025
88,0.15,0.85,1.477364662,1.054662347
88,0.2,0.8,1.310415025,0.853767261
89,0.0005,0.9995,3.901642678,3.645958635
89,0.001,0.999,3.645958635,3.385184867
89,0.005,0.995,3.029798224,2.749995654
89,0.01,0.99,2.749995654,2.457261542
89,0.025,0.975,2.359562459,2.042272456
89,0.05,0.95,2.042272456,1.697260887
89,0.1,0.9,1.697260887,1.310415025
89,0.15,0.85,1.477364662,1.054662347
89,0.2,0.8,1.310415025,0.853767261
90,0.0005,0.9995,3.901642678,3.645958635
90,0.001,0.999,3.645958635,3.385184867
90,0.005,0.995,3.029798224,2.749995654
90,0.01,0.99,2.749995654,2.457261542
90,0.025,0.975,2.359562459,2.042272456
90,0.05,0.95,2.042272456,1.697260887
90,0.1,0.9,1.697260887,1.310415025
90,0.15,0.85,1.477364662,1.054662347
90,0.2,0.8,1.310415025,0.853767261
91,0.0005,0.9995,3.901642678,3.645958635
91,0.001,0.999,3.645958635,3.385184867
91,0.005,0.995,3.029798224,2.749995654
91,0.01,0.99,2.749995654,2.457261542
91,0.025,0.975,2.359562459,2.042272456
91,0.05,0.95,2.042272456,1.697260887
91,0.1,0.9,1.697260887,1.310415025
91,0.15,0.85,1.477364662,1.054662347
91,0.2,0.8,1.310415025,0.853767261
92,0.0005,0.9995,3.901642678,3.645958635
92,0.001,0.999,3.645958635,3.385184867
92,0.005,0.995,3.029798224,2.749995654
92,0.01,0.99,2.749995654,2.457261542
92,0.025,0.975,2.359562459,2.042272456
92,0.05,0.95,2.042272456,1.697260887
92,0.1,0.9,1.697260887,1.310415025
92,0.15,0.85,1.477364662,1.054662347
92,0.2,0.8,1.310415025,0.853767261
93,0.0005,0.9995,3.901642678,3.645958635
93,0.001,0.999,3.645958635,3.385184867
93,0.005,0.995,3.029798224,2.749995654
93,0.01,0.99,2.749995654,2.457261542
93,0.025,0.975,2.359562459,2.042272456
93,0.05,0.95,2.042272456,1.697260887
93,0.1,0.9,1.697260887,1.310415025
93,0.15,0.85,1.477364662,1.054662347
93,0.2,0.8,1.310415025,0.853767261
94,0.0005,0.9995,3.901642678,3.645958635
94,0.001,0.999,3.645958635,3.385184867
94,0.005,0.995,3.029798224,2.749995654
94,0.01,0.99,2.749995654,2.457261542
94,0.025,0.975,2.359562459,2.042272456
94,0.05,0.95,2.042272456,1.697260887
94,0.1,0.9,1.697260887,1.310415025
94,0.15,0.85,1.477364662,1.054662347
94,0.2,0.8,1.310415025,0.853767261
95,0.0005,0.9995,3.901642678,3.645958635
95,0.001,0.999,3.645958635,3.385184867
95,0.005,0.995,3.029798224,2.749995654
95,0.01,0.99,2.749995654,2.457261542
95,0.025,0.975,2.359562459,2.042272456
95,0.05,0.95,2.042272456,1.697260887
95,0.1,0.9,1.697260887,1.310415025
95,0.15,0.85,1.477364662,1.054662347
95,0.2,0.8,1.310415025,0.853767261
96,0.0005,0.9995,3.901642678,3.645958635
96,0.001,0.999,3.645958635,3.385184867
96,0.005,0.995,3.029798224,2.749995654
96,0.01,0.99,2.749995654,2.457261542
96,0.025,0.975,2.359562459,2.042272456
96,0.05,0.95,2.042272456,1.697260887
96,0.1,0.9,1.697260887,1.310415025
96,0.15,0.85,1.477364662,1.054662347
96,0.2,0.8,1.310415025,0.853767261
97,0.0005,0.9995,3.901642678,3.645958635
97,0.001,0.999,3.645958635,3.385184867
97,0.005,0.995,3.029798224,2.749995654
97,0.01,0.99,2.749995654,2.457261542
97,0.025,0.975,2.359562459,2.042272456
97,0.05,0.95,2.042272456,1.697260887
97,0.1,0.9,1.697260887,1.310415025
97,0.15,0.85,1.477364662,1.054662347
97,0.2,0.8,1.310415025,0.853767261
98,0.0005,0.9995,3.901642678,3.645958635
98,0.001,0.999,3.645958635,3.385184867
98,0.005,0.995,3.029798224,2.749995654
98,0.01,0.99,2.749995654,2.457261542
98,0.025,0.975,2.359562459,2.042272456
98,0.05,0.95,2.042272456,1.697260887
98,0.1,0.9,1.697260887,1.310415025
98,0.15,0.85,1.477364662,1.054662347
98,0.2,0.8,1.310415025,0.853767261
99,0.0005,0.9995,3.901642678,3.645958635
99,0.001,0.999,3.645958635,3.385184867
99,0.005,0.995,3.029798224,2.749995654
99,0.01,0.99,2.749995654,2.457261542
99,0.025,0.975,2.359562459,2.042272456
99,0.05,0.95,2.042272456,1.697260887
99,0.1,0.9,1.697260887,1.310415025
99,0.15,0.85,1.477364662,1.054662347
99,0.2,0.8,1.310415025,0.853767261
100,0.0005,0.9995,3.901642678,3.645958635
100,0.001,0.999,3.645958635,3.385184867
100,0.005,0.995,3.029798224,2.749995654
100,0.01,0.99,2.749995654,2.457261542
100,0.025,0.975,2.359562459,2.042272456
100,0.05,0.95,2.042272456,1.697260887
100,0.1,0.9,1.697260887,1.310415025
100,0.15,0.85,1.477364662,1.054662347
100,0.2,0.8,1.310415025,0.853767261
101,0.0005,0.9995,3.901642678,3.645958635
101,0.001,0.999,3.645958635,3.385184867
101,0.005,0.995,3.029798224,2.749995654
101,0.01,0.99,2.749995654,2.457261542
101,0.025,0.975,2.359562459,2.042272456
101,0.05,0.95,2.042272456,1.697260887
101,0.1,0.9,1.697260887,1.310415025
101,0.15,0.85,1.477364662,1.054662347
101,0.2,0.8,1.310415025,0.853767261
105,0.0005,0.9995,3.901642678,3.645958635
105,0.001,0.999,3.645958635,3.385184867
105,0.005,0.995,3.029798224,2.749995654
105,0.01,0.99,2.749995654,2.457261542
105,0.025,0.975,2.359562459,2.042272456
105,0.05,0.95,2.042272456,1.697260887
105,0.1,0.9,1.697260887,1.310415025
105,0.15,0.85,1.477364662,1.054662347
105,0.2,0.8,1.310415025,0.853767261
110,0.0005,0.9995,3.901642678,3.645958635
110,0.001,0.999,3.645958635,3.385184867
110,0.005,0.995,3.029798224,2.749995654
110,0.01,0.99,2.749995654,2.457261542
110,0.025,0.975,2.359562459,2.042272456
110,0.05,0.95,2.042272456,1.697260887
110,0.1,0.9,1.697260887,1.310415025
110,0.15,0.85,1.477364662,1.054662347
110,0.2,0.8,1.310415025,0.853767261
115,0.0005,0.9995,3.901642678,3.645958635
115,0.001,0.999,3.645958635,3.385184867
115,0.005,0.995,3.029798224,2.749995654
115,0.01,0.99,2.749995654,2.457261542
115,0.025,0.975,2.359562459,2.042272456
115,0.05,0.95,2.042272456,1.697260887
115,0.1,0.9,1.697260887,1.310415025
115,0.15,0.85,1.477364662,1.054662347
115,0.2,0.8,1.310415025,0.853767261
120,0.0005,0.9995,3.901642678,3.645958635
120,0.001,0.999,3.645958635,3.385184867
120,0.005,0.995,3.029798224,2.749995654
120,0.01,0.99,2.749995654,2.457261542
120,0.025,0.975,2.359562459,2.042272456
120,0.05,0.95,2.042272456,1.697260887
120,0.1,0.9,1.697260887,1.310415025
120,0.15,0.85,1.477364662,1.054662347
120,0.2,0.8,1.310415025,0.853767261
125,0.0005,0.9995,3.901642678,3.645958635
125,0.001,0.999,3.645958635,3.385184867
125,0.005,0.995,3.029798224,2.749995654
125,0.01,0.99,2.749995654,2.457261542
125,0.025,0.975,2.359562459,2.042272456
125,0.05,0.95,2.042272456,1.697260887
125,0.1,0.9,1.697260887,1.310415025
125,0.15,0.85,1.477364662,1.054662347
125,0.2,0.8,1.310415025,0.853767261
130,0.0005,0.9995,3.901642678,3.645958635
130,0.001,0.999,3.645958635,3.385184867
130,0.005,0.995,3.029798224,2.749995654
130,0.01,0.99,2.749995654,2.457261542
130,0.025,0.975,2.359562459,2.042272456
130,0.05,0.95,2.042272456,1.697260887
130,0.1,0.9,1.697260887,1.310415025
130,0.15,0.85,1.477364662,1.054662347
130,0.2,0.8,1.310415025,0.853767261
135,0.0005,0.9995,3.901642678,3.645958635
135,0.001,0.999,3.645958635,3.385184867
135,0.005,0.995,3.029798224,2.749995654
135,0.01,0.99,2.749995654,2.457261542
135,0.025,0.975,2.359562459,2.042272456
135,0.05,0.95,2.042272456,1.697260887
135,0.1,0.9,1.697260887,1.310415025
135,0.15,0.85,1.477364662,1.054662347
135,0.2,0.8,1.310415025,0.853767261
140,0.0005,0.9995,3.901642678,3.645958635
140,0.001,0.999,3.645958635,3.385184867
140,0.005,0.995,3.029798224,2.749995654
140,0.01,0.99,2.749995654,2.457261542
140,0.025,0.975,2.359562459,2.042272456
140,0.05,0.95,2.042272456,1.697260887
140,0.1,0.9,1.697260887,1.310415025
140,0.15,0.85,1.477364662,1.054662347
140,0.2,0.8,1.310415025,0.853767261
145,0.0005,0.9995,3.901642678,3.645958635
145,0.001,0.999,3.645958635,3.385184867
145,0.005,0.995,3.029798224,2.749995654
145,0.01,0.99,2.749995654,2.457261542
145,0.025,0.975,2.359562459,2.042272456
145,0.05,0.95,2.042272456,1.697260887
145,0.1,0.9,1.697260887,1.310415025
145,0.15,0.85,1.477364662,1.054662347
145,0.2,0.8,1.310415025,0.853767261
150,0.0005,0.9995,3.901642678,3.645958635
150,0.001,0.999,3.645958635,3.385184867
150,0.005,0.995,3.029798224,2.749995654
150,0.01,0.99,2.749995654,2.457261542
150,0.025,0.975,2.359562459,2.042272456
150,0.05,0.95,2.042272456,1.697260887
150,0.1,0.9,1.697260887,1.310415025
150,0.15,0.85,1.477364662,1.054662347
150,0.2,0.8,1.310415025,0.853767261
155,0.0005,0.9995,3.901642678,3.645958635
155,0.001,0.999,3.645958635,3.385184867
155,0.005,0.995,3.029798224,2.749995654
155,0.01,0.99,2.749995654,2.457261542
155,0.025,0.975,2.359562459,2.042272456
155,0.05,0.95,2.042272456,1.697260887
155,0.1,0.9,1.697260887,1.310415025
155,0.15,0.85,1.477364662,1.054662347
155,0.2,0.8,1.310415025,0.853767261
160,0.0005,0.9995,3.901642678,3.645958635
160,0.001,0.999,3.645958635,3.385184867
160,0.005,0.995,3.029798224,2.749995654
160,0.01,0.99,2.749995654,2.457261542
160,0.025,0.975,2.359562459,2.042272456
160,0.05,0.95,2.042272456,1.697260887
160,0.1,0.9,1.697260887,1.310415025
160,0.15,0.85,1.477364662,1.054662347
160,0.2,0.8,1.310415025,0.853767261
165,0.0005,0.9995,3.901642678,3.645958635
165,0.001,0.999,3.645958635,3.385184867
165,0.005,0.995,3.029798224,2.749995654
165,0.01,0.99,2.749995654,2.457261542
165,0.025,0.975,2.359562459,2.042272456
165,0.05,0.95,2.042272456,1.697260887
165,0.1,0.9,1.697260887,1.310415025
165,0.15,0.85,1.477364662,1.054662347
165,0.2,0.8,1.310415025,0.853767261
170,0.0005,0.9995,3.901642678,3.645958635
170,0.001,0.999,3.645958635,3.385184867
170,0.005,0.995,3.029798224,2.749995654
170,0.01,0.99,2.749995654,2.457261542
170,0.025,0.975,2.359562459,2.042272456
170,0.05,0.95,2.042272456,1.697260887
170,0.1,0.9,1.697260887,1.310415025
170,0.15,0.85,1.477364662,1.054662347
170,0.2,0.8,1.310415025,0.853767261
175,0.0005,0.9995,3.901642678,3.645958635
175,0.001,0.999,3.645958635,3.385184867
175,0.005,0.995,3.029798224,2.749995654
175,0.01,0.99,2.749995654,2.457261542
175,0.025,0.975,2.359562459,2.042272456
175,0.05,0.95,2.042272456,1.697260887
175,0.1,0.9,1.697260887,1.310415025
175,0.15,0.85,1.477364662,1.054662347
175,0.2,0.8,1.310415025,0.853767261
180,0.0005,0.9995,3.901642678,3.645958635
180,0.001,0.999,3.645958635,3.385184867
180,0.005,0.995,3.029798224,2.749995654
180,0.01,0.99,2.749995654,2.457261542
180,0.025,0.975,2.359562459,2.042272456
180,0.05,0.95,2.042272456,1.697260887
180,0.1,0.9,1.697260887,1.310415025
180,0.15,0.85,1.477364662,1.054662347
180,0.2,0.8,1.310415025,0.853767261
185,0.0005,0.9995,3.901642678,3.645958635
185,0.001,0.999,3.645958635,3.385184867
185,0.005,0.995,3.029798224,2.749995654
185,0.01,0.99,2.749995654,2.457261542
185,0.025,0.975,2.359562459,2.042272456
185,0.05,0.95,2.042272456,1.697260887
185,0.1,0.9,1.697260887,1.310415025
185,0.15,0.85,1.477364662,1.054662347
185,0.2,0.8,1.310415025,0.853767261
190,0.0005,0.9995,3.901642678,3.645958635
190,0.001,0.999,3.645958635,3.385184867
190,0.005,0.995,3.029798224,2.749995654
190,0.01,0.99,2.749995654,2.457261542
190,0.025,0.975,2.359562459,2.042272456
190,0.05,0.95,2.042272456,1.697260887
190,0.1,0.9,1.697260887,1.310415025
190,0.15,0.85,1.477364662,1.054662347
190,0.2,0.8,1.310415025,0.853767261
195,0.0005,0.9995,3.901642678,3.645958635
195,0.001,0.999,3.645958635,3.385184867
195,0.005,0.995,3.029798224,2.749995654
195,0.01,0.99,2.749995654,2.457261542
195,0.025,0.975,2.359562459,2.042272456
195,0.05,0.95,2.042272456,1.697260887
195,0.1,0.9,1.697260887,1.310415025
195,0.15,0.85,1.477364662,1.054662347
195,0.2,0.8,1.310415025,0.853767261
200,0.0005,0.9995,3.901642678,3.645958635
200,0.001,0.999,3.645958635,3.385184867
200,0.005,0.995,3.029798224,2.749995654
200,0.01,0.99,2.749995654,2.457261542
200,0.025,0.975,2.359562459,2.042272456
200,0.05,0.95,2.042272456,1.697260887
200,0.1,0.9,1.697260887,1.310415025
200,0.15,0.85,1.477364662,1.054662347
200,0.2,0.8,1.310415025,0.853767261
